activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
12-A042,12-C007,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-01-04,12-A038,3
12-A043,12-C008,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-02-22,,2
12-A044,12-C008,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-01-11,,3
12-A045,12-C008,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,1,2027-01-25,,1
12-A046,12-C008,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-02-08,,2
12-A047,12-C008,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-02-22,12-A043,3
12-A048,12-C008,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-01-11,12-A044,1
12-A049,12-C009,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,3,2027-01-04,,3
12-A050,12-C009,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-01-18,,1
12-A051,12-C009,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-02-01,,2
12-A052,12-C009,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-02-15,,3
12-A053,12-C009,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,1,2027-01-04,12-A049,1
12-A054,12-C009,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-18,12-A050,2
12-A055,12-C010,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-01-11,,1
12-A056,12-C010,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-25,,2
12-A057,12-C010,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,3,2027-02-08,,3
12-A058,12-C010,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,1,2027-02-22,,1
12-A059,12-C010,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,12-A055,2
12-A060,12-C010,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-25,12-A056,3
12-A061,12-C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-18,,2
12-A062,12-C011,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-02-01,,3
12-A063,12-C011,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-02-15,,1
12-A064,12-C011,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-04,,2
12-A065,12-C011,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-01-18,12-A061,3
12-A066,12-C011,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-02-01,12-A062,1
12-A067,12-C012,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-25,,3
12-A068,12-C012,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,1,2027-02-08,,1
12-A069,12-C012,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-02-22,,2
12-A070,12-C012,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,3
12-A071,12-C012,Construction,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,1,2027-01-25,12-A067,1
12-A072,12-C012,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-02-08,12-A068,2
12-A073,12-C013,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,1,2027-02-01,,1
12-A074,12-C013,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-02-15,,2
12-A075,12-C013,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,3,2027-01-04,,3
12-A076,12-C013,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-01-18,,1
12-A077,12-C013,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-02-01,12-A073,2
12-A078,12-C013,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-02-15,12-A074,3
12-A079,12-C014,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-02-08,,2
12-A080,12-C014,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-02-22,,3
12-A081,12-C014,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-11,,1
12-A082,12-C014,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-25,,2
12-A083,12-C014,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-02-08,12-A079,3
12-A084,12-C014,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,1,2027-02-22,12-A080,1
12-A085,12-C015,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-02-15,,3
12-A086,12-C015,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-01-04,,1
12-A087,12-C015,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,2,2027-01-18,,2
12-A088,12-C015,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-02-01,,3
12-A089,12-C015,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-02-15,12-A085,1
12-A090,12-C015,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-04,12-A086,2
12-A091,12-C016,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-02-22,,1
12-A092,12-C016,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,2,2027-01-11,,2
12-A093,12-C016,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,3,2027-01-25,,3
12-A094,12-C016,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-02-08,,1
12-A095,12-C016,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-02-22,12-A091,2
12-A096,12-C016,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,3,2027-01-11,12-A092,3
12-A097,12-C017,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-01-04,,2
12-A098,12-C017,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-01-18,,3
12-A099,12-C017,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-02-01,,1
12-A100,12-C017,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-02-15,,2
12-A101,12-C017,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-01-04,12-A097,3
12-A102,12-C017,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,1,2027-01-18,12-A098,1
12-A103,12-C018,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,3,2027-01-11,,3
12-A104,12-C018,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,1,2027-01-25,,1
12-A105,12-C018,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-02-08,,2
12-A106,12-C018,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-02-22,,3
12-A107,12-C018,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,1,2027-01-11,12-A103,1
12-A108,12-C018,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-25,12-A104,2
12-A109,12-C019,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,1,2027-01-18,,1
12-A110,12-C019,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-02-01,,2
12-A111,12-C019,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-02-15,,3
12-A112,12-C019,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-01-04,,1
12-A113,12-C019,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-18,12-A109,2
12-A114,12-C019,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,3,2027-02-01,12-A110,3
12-A115,12-C020,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-25,,2
12-A116,12-C020,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,3,2027-02-08,,3
12-A117,12-C020,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-02-22,,1
12-A118,12-C020,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,2
12-A119,12-C020,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,3,2027-01-25,12-A115,3
12-A120,12-C020,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-02-08,12-A116,1
12-A121,12-C021,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-02-01,,3
12-A122,12-C021,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,1,2027-02-15,,1
12-A123,12-C021,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
12-A124,12-C021,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-18,,3
12-A125,12-C021,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,1,2027-02-01,12-A121,1
12-A126,12-C021,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-02-15,12-A122,2
12-A127,12-C022,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-02-08,,1
12-A128,12-C022,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-02-22,,2
12-A129,12-C022,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-01-11,,3
12-A130,12-C022,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,1,2027-01-25,,1
12-A131,12-C022,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-02-08,12-A127,2
12-A132,12-C022,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-02-22,12-A128,3
12-A133,12-C023,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-02-15,,2
12-A134,12-C023,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-01-04,,3
12-A135,12-C023,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,1,2027-01-18,,1
12-A136,12-C023,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-02-01,,2
12-A137,12-C023,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-02-15,12-A133,3
12-A138,12-C023,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-04,12-A134,1
12-A139,12-C024,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,3,2027-02-22,,3
12-A140,12-C024,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-11,,1
12-A141,12-C024,Construction,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-25,,2
12-A142,12-C024,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-02-08,,3
12-A143,12-C024,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-02-22,12-A139,1
12-A144,12-C024,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,12-A140,2
12-A145,12-C025,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,1
12-A146,12-C025,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-01-18,,2
12-A147,12-C025,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,3,2027-02-01,,3
12-A148,12-C025,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-02-15,,1
12-A149,12-C025,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,2,2027-01-04,12-A145,2
12-A150,12-C025,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,3,2027-01-18,12-A146,3
12-A151,12-C026,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,2
12-A152,12-C026,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,3,2027-01-25,,3
12-A153,12-C026,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-02-08,,1
12-A154,12-C026,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2027-02-22,,2
12-A155,12-C026,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,3,2027-01-11,12-A151,3
12-A156,12-C026,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,1,2027-01-25,12-A152,1
12-A157,12-C027,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,3,2027-01-18,,3
12-A158,12-C027,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,1,2027-02-01,,1
12-A159,12-C027,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-02-15,,2
12-A160,12-C027,Construction,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,3,2027-01-04,,3
12-A161,12-C027,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,1,2027-01-18,12-A157,1
12-A162,12-C027,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-02-01,12-A158,2
12-A163,12-C028,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-01-25,,1
12-A164,12-C028,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,2,2027-02-08,,2
12-A165,12-C028,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,3,2027-02-22,,3
12-A166,12-C028,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2027-01-11,,1
12-A167,12-C028,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-25,12-A163,2
12-A168,12-C028,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-02-08,12-A164,3
12-A169,12-C029,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-02-01,,2
12-A170,12-C029,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,3,2027-02-15,,3
12-A171,12-C029,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-01-04,,1
12-A172,12-C029,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-18,,2
12-A173,12-C029,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,3,2027-02-01,12-A169,3
12-A174,12-C029,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-02-15,12-A170,1
12-A175,12-C030,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-02-08,,3
12-A176,12-C030,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,1,2027-02-22,,1
12-A177,12-C030,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-01-11,,2
12-A178,12-C030,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-25,,3
12-A179,12-C030,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,1,2027-02-08,12-A175,1
12-A180,12-C030,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-02-22,12-A176,2
12-A181,12-C031,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,1,2027-02-15,,1
12-A182,12-C031,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-01-04,,2
12-A183,12-C031,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,,3
12-A184,12-C031,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-02-01,,1
12-A185,12-C031,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-02-15,12-A181,2
12-A186,12-C031,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-01-04,12-A182,3
12-A187,12-C032,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,2,2027-02-22,,2
12-A188,12-C032,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-11,,3
12-A189,12-C032,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,1,2027-01-25,,1
12-A190,12-C032,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,2,2027-02-08,,2
12-A191,12-C032,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-02-22,12-A187,3
12-A192,12-C032,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,1,2027-01-11,12-A188,1
12-A193,12-C033,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-01-04,,3
12-A194,12-C033,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-01-18,,1
12-A195,12-C033,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,2,2027-02-01,,2
12-A196,12-C033,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,3,2027-02-15,,3
12-A197,12-C033,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,12-A193,1
12-A198,12-C033,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-18,12-A194,2
12-A199,12-C034,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-01-11,,1
12-A200,12-C034,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,2,2027-01-25,,2
12-A201,12-C034,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-02-08,,3
12-A202,12-C034,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-02-22,,1
12-A203,12-C034,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-01-11,12-A199,2
12-A204,12-C034,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-01-25,12-A200,3
12-A205,12-C035,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2027-01-18,,2
12-A206,12-C035,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,3,2027-02-01,,3
12-A207,12-C035,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,1,2027-02-15,,1
12-A208,12-C035,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-04,,2
12-A209,12-C035,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,3,2027-01-18,12-A205,3
12-A210,12-C035,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-02-01,12-A206,1
12-A211,12-C036,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-01-25,,3
12-A212,12-C036,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,1,2027-02-08,,1
12-A213,12-C036,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-02-22,,2
12-A214,12-C036,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,3,2027-01-11,,3
12-A215,12-C036,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-01-25,12-A211,1
12-A216,12-C036,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-02-08,12-A212,2
12-A217,12-C037,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2027-02-01,,1
12-A218,12-C037,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-02-15,,2
12-A219,12-C037,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-01-04,,3
12-A220,12-C037,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-01-18,,1
12-A221,12-C037,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,2,2027-02-01,12-A217,2
12-A222,12-C037,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,3,2027-02-15,12-A218,3
12-A223,12-C038,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-02-08,,2
12-A224,12-C038,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-02-22,,3
12-A225,12-C038,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-01-11,,1
12-A226,12-C038,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-25,,2
12-A227,12-C038,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-02-08,12-A223,3
12-A228,12-C038,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-02-22,12-A224,1
12-A229,12-C039,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-02-15,,3
